customer_id,gender,age,relationship_status,state,number_of_referrals,tenure_in_months,value_deal,voice_assistance,dual_connectivity,data_service,data_plan,cyber_protection,data_backup,gadget_protection,vip_support,video_streaming,cinema_streaming,audio_streaming,unlimited_data,service_commitment,digital_invoicing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status,churn_category,churn_reason
CUS-00001-US,Male,35,Single,Missouri,7,27,,Active,Inactive,Active,Cable,Inactive,Active,Inactive,Active,Active,Inactive,Inactive,Active,One Year,Active,Credit Card,67,643,0,0,371,925,Stayed,,
CUS-00002-US,Male,47,Married,New York,15,13,,Active,Active,Active,Cable,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Active,Inactive,Month-to-Month,Inactive,Credit Card,4,522,42,10,102,663,Stayed,,
CUS-00003-US,Female,52,Single,Maryland,4,35,Deal 5,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Active,Inactive,Inactive,Inactive,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,72,255,0,0,132,407,Churned,Price,Competitor had better devices
CUS-00004-US,Female,80,Single,Tennessee,3,23,Deal 4,Active,Inactive,Active,Fiber Optic,Inactive,Active,Active,Inactive,Active,Active,Inactive,Active,Month-to-Month,Active,Bank Withdrawal,93,1337,0,0,343,1719,Churned,Dissatisfaction,Product dissatisfaction
CUS-00005-US,Female,79,Single,New Jersey,3,8,,Active,Inactive,Active,Fiber Optic,Inactive,Inactive,Inactive,Active,Active,Inactive,Inactive,Active,Month-to-Month,Active,Credit Card,84,262,0,0,24,309,Churned,Dissatisfaction,Network reliability
CUS-00006-US,Male,25,Single,Missouri,10,2,Deal 5,Active,Inactive,Active,Cable,Inactive,Inactive,Inactive,Active,Active,Active,Active,Active,Month-to-Month,Active,Credit Card,65,586,0,0,144,782,Stayed,,
CUS-00007-US,Male,65,Married,Florida,10,24,Deal 1,Active,Inactive,Active,Fiber Optic,Active,Active,Active,Active,Active,Active,Active,Active,Two Year,Active,Bank Withdrawal,99,7637,0,0,722,8333,Stayed,,
CUS-00008-US,Male,55,Married,Wisconsin,11,25,Deal 2,Active,Active,Active,Fiber Optic,Active,Inactive,Inactive,Active,Inactive,Inactive,Inactive,Inactive,Two Year,Active,Credit Card,76,5366,0,19,767,6328,Stayed,,
CUS-00009-US,Male,69,Single,North Carolina,4,11,Deal 5,Active,Inactive,Active,DSL,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Two Year,Active,Bank Withdrawal,47,359,0,0,75,401,Stayed,,
CUS-00010-US,Male,40,Single,Virginia,3,1,,Active,Active,Active,Cable,Active,Active,Active,Active,Active,Active,Active,Active,Two Year,Active,Credit Card,89,6357,0,0,2015,8201,Stayed,,
